timestamp,open,high,low,close,volume
2026-07-01 17:00:00,59920.0,60239.84,59787.35,60190.6,480.08928
2026-07-01 18:00:00,60190.59,60298.0,60016.4,60171.16,343.31457
2026-07-01 19:00:00,60171.16,60352.93,60000.0,60028.67,548.14825
2026-07-01 20:00:00,60029.39,60198.0,59876.0,60126.0,313.10277
2026-07-01 21:00:00,60126.0,60846.95,60124.89,60815.99,1153.57611
2026-07-01 22:00:00,60815.99,61334.0,60339.0,60478.01,1877.61599
2026-07-01 23:00:00,60478.0,60478.0,59984.86,60024.0,573.62579
2026-07-02 00:00:00,60024.0,60028.0,59588.0,59761.73,857.93081
2026-07-02 01:00:00,59761.74,60324.99,59715.8,60175.92,634.42084
2026-07-02 02:00:00,60175.91,60495.24,60015.68,60423.1,520.9397
2026-07-02 03:00:00,60423.11,61121.78,60300.02,61058.0,891.65369
2026-07-02 04:00:00,61057.99,61058.0,60728.0,60787.98,793.20588
2026-07-02 05:00:00,60787.98,60877.69,60488.0,60504.54,836.16486
2026-07-02 06:00:00,60504.54,60652.74,60260.0,60274.01,838.53408
2026-07-02 07:00:00,60274.01,60315.93,60104.0,60149.99,593.99067
2026-07-02 08:00:00,60149.99,60555.06,60132.51,60511.99,573.38622
2026-07-02 09:00:00,60512.0,61437.49,60376.13,61184.0,1895.63178
2026-07-02 10:00:00,61184.0,61350.0,61051.07,61263.68,711.1086
2026-07-02 11:00:00,61263.93,61388.0,61125.58,61358.01,823.29588
2026-07-02 12:00:00,61358.0,61614.0,61147.23,61542.53,1476.64291
2026-07-02 13:00:00,61542.53,62053.0,61506.0,61939.04,2503.04906
2026-07-02 14:00:00,61939.04,62200.0,61394.49,61696.61,1834.43153
2026-07-02 15:00:00,61696.61,61850.86,61427.39,61612.93,955.089
2026-07-02 16:00:00,61612.93,61790.13,61108.99,61682.34,1526.68052
2026-07-02 17:00:00,61682.34,61962.43,61619.69,61667.39,742.84693
2026-07-02 18:00:00,61667.4,61900.29,61664.39,61761.36,457.24217
2026-07-02 19:00:00,61761.36,61763.81,61424.0,61479.6,567.93379
2026-07-02 20:00:00,61479.59,61596.0,61342.0,61584.78,435.70751
2026-07-02 21:00:00,61584.77,61653.43,61516.0,61592.26,335.09994
2026-07-02 22:00:00,61592.26,61596.62,61406.28,61465.26,313.41399
2026-07-02 23:00:00,61465.26,61606.0,61350.02,61560.0,263.74127
2026-07-03 00:00:00,61560.0,61578.0,61248.86,61308.75,803.35853
2026-07-03 01:00:00,61308.75,61733.11,61286.0,61588.0,365.29608
2026-07-03 02:00:00,61588.0,61664.62,61294.0,61440.01,718.15053
